Export, KERNEL32.dll
Ordinal	Address	Name
00000161	77E9B379	GetLogicalDriveStringsW
00000162	77E6C29D	GetLogicalDrives
00000163	77E9B13D	GetLongPathNameA
00000164	77E78FF4	GetLongPathNameW
00000165	77EB6E3D	GetMailslotInfo
00000166	77E7A099	GetModuleFileNameA
00000167	77E79FC8	GetModuleFileNameW
00000168	77E79F93	GetModuleHandleA
00000169	77EB6FB3	GetModuleHandleExA
0000016A	77E97E0A	GetModuleHandleExW
0000016B	77E7A663	GetModuleHandleW
0000016C	77EB792B	GetNamedPipeHandleStateA
0000016D	77EB7763	GetNamedPipeHandleStateW
0000016E	77EB75A6	GetNamedPipeInfo
0000016F	77EB87F2	GetNativeSystemInfo
00000170	77EBD21B	GetNextVDMCommand
00000171	77E7B19C	GetNlsSectionName
00000172	77EB7BD2	GetNumaAvailableMemory
00000173	77EB7C11	GetNumaAvailableMemoryNode
00000174	77EB7A73	GetNumaHighestNodeNumber
00000175	77EB7B39	GetNumaNodeProcessorMask
00000176	77EB7B93	GetNumaProcessorMap
00000177	77EB7AB7	GetNumaProcessorNode
00000178	77EC9569	GetNumberFormatA
00000179	77E679F8	GetNumberFormatW
0000017A	77EC841B	GetNumberOfConsoleFonts
0000017B	77EC846C	GetNumberOfConsoleInputEvents
0000017C	77EC79CE	GetNumberOfConsoleMouseButtons
0000017D	77E6C703	GetOEMCP
0000017E	77E6D62C	GetOverlappedResult
0000017F	77E9A7AC	GetPriorityClass
00000180	77E719F3	GetPrivateProfileIntA
00000181	77E66FC5	GetPrivateProfileIntW
00000182	77E62050	GetPrivateProfileSectionA
00000183	77E61FD2	GetPrivateProfileSectionNamesA
00000184	77EB489D	GetPrivateProfileSectionNamesW
00000185	77E6FD6B	GetPrivateProfileSectionW
00000186	77E72C64	GetPrivateProfileStringA
00000187	77E6A9AA	GetPrivateProfileStringW
00000188	77EB48B6	GetPrivateProfileStructA
00000189	77EB49BE	GetPrivateProfileStructW
0000018A	77E7A5FD	GetProcAddress
0000018B	77E66ADC	GetProcessAffinityMask
0000018C	77E77CB7	GetProcessHeap
0000018D	77E9C532	GetProcessHeaps
0000018E	77EB86A1	GetProcessIoCounters
0000018F	77EB866E	GetProcessPriorityBoost
00000190	77EB85FD	GetProcessShutdownParameters
00000191	77E96FF8	GetProcessTimes
00000192	77E7C334	GetProcessVersion
00000193	77E62233	GetProcessWorkingSetSize
00000194	77E6C904	GetProfileIntA
00000195	77E641D5	GetProfileIntW
00000196	77EB4CD6	GetProfileSectionA
00000197	77E9A3BE	GetProfileSectionW
00000198	77E6A907	GetProfileStringA
00000199	77E67FD7	GetProfileStringW
0000019A	77E73B18	GetQueuedCompletionStatus
0000019B	77E6C10B	GetShortPathNameA
0000019C	77E6BE92	GetShortPathNameW
0000019D	77E6177A	GetStartupInfoA
0000019E	77E616E6	GetStartupInfoW
0000019F	77E79C3D	GetStdHandle
000001A0	77E641EB	GetStringTypeA
000001A1	77E98D20	GetStringTypeExA
000001A2	77E69E3A	GetStringTypeExW
000001A3	77E7C866	GetStringTypeW
000001A4	77E6FCCD	GetSystemDefaultLCID
000001A5	77E69B87	GetSystemDefaultLangID
000001A6	77E78A4F	GetSystemDefaultUILanguage
000001A7	77E704FC	GetSystemDirectoryA
000001A8	77E6A961	GetSystemDirectoryW
000001A9	77E7C3A5	GetSystemInfo
000001AA	77E6E1B4	GetSystemPowerStatus
000001AB	77E61608	GetSystemTime
000001AC	77E97149	GetSystemTimeAdjustment
000001AD	77E6167B	GetSystemTimeAsFileTime
000001AE	77E70556	GetSystemWindowsDirectoryA
000001AF	77E7606C	GetSystemWindowsDirectoryW
000001B0	77E983C8	GetSystemWow64DirectoryA
