Export, USER32.dll
Ordinal	Address	Name
00000143	77D6ECCE	GetNextDlgGroupItem
00000144	77D5E0F1	GetNextDlgTabItem
00000145	77D5E523	GetOpenClipboardWindow
00000146	77D45FBD	GetParent
00000147	77D7A859	GetPriorityClipboardFormat
00000148	77D6EEA0	GetProcessDefaultLayout
00000149	77D44A1A	GetProcessWindowStation
0000014A	77D8E316	GetProgmanWindow
0000014B	77D5C347	GetPropA
0000014C	77D45C8B	GetPropW
0000014D	77D46E30	GetQueueStatus
0000014E	77D93100	GetRawInputBuffer
0000014F	77D7BF11	GetRawInputData
00000150	77D98C3E	GetRawInputDeviceInfoA
00000151	77D7BE56	GetRawInputDeviceInfoW
00000152	77D7BE47	GetRawInputDeviceList
00000153	77D9714C	GetReasonTitleFromReasonCode
00000154	77D99482	GetRegisteredRawInputDevices
00000155	77D5C69F	GetScrollBarInfo
00000156	77D5C6AE	GetScrollInfo
00000157	77D5D759	GetScrollPos
00000158	77D5D6DF	GetScrollRange
00000159	77D4A284	GetShellWindow
0000015A	77D4C0C8	GetSubMenu
0000015B	77D4432A	GetSysColor
0000015C	77D47993	GetSysColorBrush
0000015D	77D49B6F	GetSystemMenu
0000015E	77D477C0	GetSystemMetrics
0000015F	77D6CC25	GetTabbedTextExtentA
00000160	77D9047A	GetTabbedTextExtentW
00000161	77D8D46B	GetTaskmanWindow
00000162	77D44A45	GetThreadDesktop
00000163	77D498A9	GetTitleBarInfo
00000164	77D5C083	GetTopWindow
00000165	77D47EFA	GetUpdateRect
00000166	77D5D660	GetUpdateRgn
00000167	77D5DB2E	GetUserObjectInformationA
00000168	77D44A27	GetUserObjectInformationW
00000169	77D8DF25	GetUserObjectSecurity
0000016A	77D8DF54	GetWinStationInfo
0000016B	77D46254	GetWindow
0000016C	77D7A788	GetWindowContextHelpId
0000016D	77D4783F	GetWindowDC
0000016E	77D497D5	GetWindowInfo
0000016F	77D43FED	GetWindowLongA
00000170	77D44158	GetWindowLongW
00000171	77D98C1D	GetWindowModuleFileName
00000172	77D98C1D	GetWindowModuleFileNameA
00000173	77D8E4A7	GetWindowModuleFileNameW
00000174	77D5BE95	GetWindowPlacement
00000175	77D45F74	GetWindowRect
00000176	77D5443D	GetWindowRgn
00000177	77D4AF9A	GetWindowRgnBox
00000178	77D5C13A	GetWindowTextA
00000179	77D5C76E	GetWindowTextLengthA
0000017A	77D4BB5E	GetWindowTextLengthW
0000017B	77D4A331	GetWindowTextW
0000017C	77D45CBC	GetWindowThreadProcessId
0000017D	77D5D4A1	GetWindowWord
0000017E	77D8DED3	GrayStringA
0000017F	77D8DEFC	GrayStringW
00000180	77D4817F	HideCaret
00000181	77D5D5F0	HiliteMenuItem
00000182	77D98EDF	IMPGetIMEA
00000183	77D98ED9	IMPGetIMEW
00000184	77D98EEB	IMPQueryIMEA
00000185	77D98EE5	IMPQueryIMEW
00000186	77D98EF7	IMPSetIMEA
00000187	77D98EF1	IMPSetIMEW
00000188	77D994A0	ImpersonateDdeClientWindow
00000189	77D4A712	InSendMessage
0000018A	77D4B8F5	InSendMessageEx
0000018B	77D47BF0	InflateRect
0000018C	77D75A45	InitializeLpkHooks
0000018D	77D43FBF	InitializeWin32EntryTable
0000018E	77D5DD70	InsertMenuA
0000018F	77D7A9AF	InsertMenuItemA
00000190	77D5180C	InsertMenuItemW
00000191	77D517D0	InsertMenuW
00000192	77D49CB2	InternalGetWindowText
00000193	77D4614C	IntersectRect
00000194	77D4590C	InvalidateRect
00000195	77D4A3D9	InvalidateRgn
00000196	77D5F617	InvertRect
00000197	77D6B3AA	IsCharAlphaA
00000198	77D79D1C	IsCharAlphaNumericA
00000199	77D52A4E	IsCharAlphaNumericW
0000019A	77D5C595	IsCharAlphaW
0000019B	77D6B451	IsCharLowerA
0000019C	77D8CE11	IsCharLowerW
0000019D	77D6B4A3	IsCharUpperA
0000019E	77D6FE4F	IsCharUpperW
0000019F	77D478FF	IsChild
000001A0	77D5D209	IsClipboardFormatAvailable
000001A1	77D5F482	IsDialogMessage
000001A2	77D5F482	IsDialogMessageA
000001A3	77D48518	IsDialogMessageW
000001A4	77D4FF23	IsDlgButtonChecked
000001A5	77D9876D	IsGUIThread
000001A6	77D79471	IsHungAppWindow
000001A7	77D48106	IsIconic
000001A8	77D5BFFC	IsMenu
000001A9	77D47C11	IsRectEmpty
000001AA	77D497BE	IsServerSideWindow
000001AB	77D44D33	IsWinEventHookInstalled
000001AC	77D45B19	IsWindow
000001AD	77D47C8B	IsWindowEnabled
000001AE	77D498D3	IsWindowInDestroy
000001AF	77D47668	IsWindowUnicode
000001B0	77D4747C	IsWindowVisible
000001B1	77D48120	IsZoomed
000001B2	77D8E2F4	KillSystemTimer
000001B3	77D444FF	KillTimer
000001B4	77D50D5F	LoadAcceleratorsA
000001B5	77D50D40	LoadAcceleratorsW
000001B6	77D5BC81	LoadBitmapA
000001B7	77D52A39	LoadBitmapW
000001B8	77D47EE5	LoadCursorA
000001B9	77D74355	LoadCursorFromFileA
000001BA	77D7439D	LoadCursorFromFileW
000001BB	77D448EF	LoadCursorW
000001BC	77D4A102	LoadIconA
000001BD	77D4A0C4	LoadIconW
000001BE	77D4D42B	LoadImageA
000001BF	77D4D3C1	LoadImageW
000001C0	77D70F38	LoadKeyboardLayoutA
000001C1	77D8E3A0	LoadKeyboardLayoutEx
000001C2	77D70F24	LoadKeyboardLayoutW
000001C3	77D54F2D	LoadLocalFonts
000001C4	77D5DDAC	LoadMenuA
000001C5	77D4C55F	LoadMenuIndirectA
000001C6	77D4C55F	LoadMenuIndirectW
000001C7	77D4C5DC	LoadMenuW
000001C8	77D55200	LoadRemoteFonts
000001C9	77D47250	LoadStringA
000001CA	77D4718C	LoadStringW
000001CB	77D5E9C1	LockSetForegroundWindow
000001CC	77D55A81	LockWindowStation
000001CD	77D66793	LockWindowUpdate
000001CE	77D994BE	LockWorkStation
000001CF	77D76645	LookupIconIdFromDirectory
000001D0	77D4D838	LookupIconIdFromDirectoryEx
000001D1	77D44A7D	MBToWCSEx
000001D2	77D95765	MB_GetString
000001D3	77D6901F	MapDialogRect
000001D4	77D5D1E9	MapVirtualKeyA
000001D5	77D79FBD	MapVirtualKeyExA
000001D6	77D5EB45	MapVirtualKeyExW
000001D7	77D6E81D	MapVirtualKeyW
000001D8	77D46048	MapWindowPoints
000001D9	77D994CB	MenuItemFromPoint
000001DA	77D8E70A	MenuWindowProcA
000001DB	77D8E6CC	MenuWindowProcW
000001DC	77D5EAE6	MessageBeep
000001DD	77D6ADD7	MessageBoxA
000001DE	77D6ADFE	MessageBoxExA
000001DF	77D78860	MessageBoxExW
000001E0	77D6B87C	MessageBoxIndirectA
000001E1	77D6FCE7	MessageBoxIndirectW
000001E2	77D6AE1B	MessageBoxTimeoutA
000001E3	77D6AD73	MessageBoxTimeoutW
000001E4	77D78839	MessageBoxW
000001E5	77D5F570	ModifyMenuA
000001E6	77D7001C	ModifyMenuW
000001E7	77D4B4B9	MonitorFromPoint
000001E8	77D49D9A	MonitorFromRect
000001E9	77D47AB2	MonitorFromWindow
000001EA	77D47EC7	MoveWindow
000001EB	77D46E3E	MsgWaitForMultipleObjects
000001EC	77D46DDF	MsgWaitForMultipleObjectsEx
000001ED	77D47C46	NotifyWinEvent
000001EE	77D7A281	OemKeyScan
000001EF	77D6E311	OemToCharA
000001F0	77D6E347	OemToCharBuffA
000001F1	77D7A2D2	OemToCharBuffW
000001F2	77D9620D	OemToCharW
000001F3	77D45EB5	OffsetRect
000001F4	77D5E310	OpenClipboard
000001F5	77D6FF04	OpenDesktopA
000001F6	77D52679	OpenDesktopW
000001F7	77D794EC	OpenIcon
000001F8	77D5286A	OpenInputDesktop
000001F9	77D6D2AB	OpenWindowStationA
000001FA	77D7944C	OpenWindowStationW
000001FB	77D704C7	PackDDElParam
000001FC	77D4BF7E	PaintDesktop
000001FD	77D5BCE9	PaintMenuBar
000001FE	77D46E60	PeekMessageA
000001FF	77D43ECD	PeekMessageW
00000200	77D442CF	PostMessageA
00000201	77D44643	PostMessageW
00000202	77D4B816	PostQuitMessage
00000203	77D5C5EA	PostThreadMessageA
00000204	77D464FB	PostThreadMessageW
00000205	77D6ED36	PrintWindow
00000206	77D92AD1	PrivateExtractIconExA
00000207	77D52228	PrivateExtractIconExW
00000208	77D92A7E	PrivateExtractIconsA
00000209	77D52AF0	PrivateExtractIconsW
0000020A	77D9957D	PrivateSetDbgTag
0000020B	77D995C8	PrivateSetRipFlags
0000020C	77D4631C	PtInRect
0000020D	77D99505	QuerySendMessage
0000020E	77D99514	QueryUserCounters
0000020F	77D99523	RealChildWindowFromPoint
00000210	77D98E13	RealGetWindowClass
00000211	77D98E13	RealGetWindowClassA
00000212	77D5EBED	RealGetWindowClassW
00000213	77D96A10	ReasonCodeNeedsBugID
00000214	77D96A03	ReasonCodeNeedsComment
00000215	77D8F8ED	RecordShutdownReason
00000216	77D47CA7	RedrawWindow
00000217	77D4DC11	RegisterClassA
00000218	77D4DCCC	RegisterClassExA
00000219	77D4B898	RegisterClassExW
0000021A	77D4B748	RegisterClassW
0000021B	77D4A414	RegisterClipboardFormatA
0000021C	77D4A5F9	RegisterClipboardFormatW
0000021D	77D55A67	RegisterDeviceNotificationA
0000021E	77D54A2D	RegisterDeviceNotificationW
0000021F	77D54BE0	RegisterHotKey
00000220	77D56096	RegisterLogonProcess
00000221	77D77822	RegisterMessagePumpHook
00000222	77D7BDBD	RegisterRawInputDevices
00000223	77D54F64	RegisterServicesProcess
00000224	77D5288D	RegisterShellHookWindow
00000225	77D8E35A	RegisterSystemThread
00000226	77D99541	RegisterTasklist
00000227	77D55A90	RegisterUserApiHook
00000228	77D4A414	RegisterWindowMessageA
00000229	77D4A5F9	RegisterWindowMessageW
0000022A	77D4823A	ReleaseCapture
0000022B	77D45F4F	ReleaseDC
0000022C	77D4C440	RemoveMenu
0000022D	77D5DC89	RemovePropA
0000022E	77D4784E	RemovePropW
0000022F	77D6E786	ReplyMessage
00000230	77D99550	ResolveDesktopForWOW
00000231	77D774DC	ReuseDDElParam
00000232	77D481CD	ScreenToClient
00000233	77D94CEF	ScrollChildren
00000234	77D44D12	ScrollDC
00000235	77D5DE27	ScrollWindow
00000236	77D5DDFA	ScrollWindowEx
00000237	77D626ED	SendDlgItemMessageA
00000238	77D4FDF5	SendDlgItemMessageW
00000239	77D6B44B	SendIMEMessageExA
0000023A	77D98ED3	SendIMEMessageExW
0000023B	77D6E777	SendInput
0000023C	77D4702F	SendMessageA
0000023D	77D98D24	SendMessageCallbackA
0000023E	77D4B3C6	SendMessageCallbackW
0000023F	77D5C3E2	SendMessageTimeoutA
00000240	77D48400	SendMessageTimeoutW
00000241	77D45E37	SendMessageW
00000242	77D5E90E	SendNotifyMessageA
00000243	77D4BACB	SendNotifyMessageW
00000244	77D48977	SetActiveWindow
00000245	77D5D3C3	SetCapture
00000246	77D8E36C	SetCaretBlinkTime
00000247	77D47FEE	SetCaretPos
00000248	77D5D417	SetClassLongA
00000249	77D6E099	SetClassLongW
0000024A	77D9955F	SetClassWord
0000024B	77D6BB4C	SetClipboardData
0000024C	77D68326	SetClipboardViewer
0000024D	77D4BF9C	SetConsoleReserveKeys
0000024E	77D4630D	SetCursor
0000024F	77D9956E	SetCursorContents
00000250	77D75595	SetCursorPos
00000251	77D8E3E3	SetDebugErrorLevel
00000252	77D8DC28	SetDeskWallpaper
00000253	77D72697	SetDlgItemInt
00000254	77D6272D	SetDlgItemTextA
00000255	77D4FE2D	SetDlgItemTextW
00000256	77D8E37A	SetDoubleClickTime
00000257	77D48137	SetFocus
00000258	77D47F34	SetForegroundWindow
00000259	77D9959B	SetInternalWindowPos
0000025A	77D5D19B	SetKeyboardState
0000025B	77D96332	SetLastErrorEx
0000025C	77D5149D	SetLayeredWindowAttributes
0000025D	77D54F37	SetLogonNotifyWindow
0000025E	77D5F3C8	SetMenu
0000025F	77D7A332	SetMenuContextHelpId
00000260	77D5178E	SetMenuDefaultItem
00000261	77D94EED	SetMenuInfo
00000262	77D77DE4	SetMenuItemBitmaps
00000263	77D710D7	SetMenuItemInfoA
00000264	77D5227C	SetMenuItemInfoW
00000265	77D8E750	SetMessageExtraInfo
00000266	77D5E697	SetMessageQueue
00000267	77D47ED6	SetParent
00000268	77D8E3E6	SetProcessDefaultLayout
00000269	77D5299F	SetProcessWindowStation
0000026A	77D8E34C	SetProgmanWindow
0000026B	77D5DC39	SetPropA
0000026C	77D4788F	SetPropW
0000026D	77D45944	SetRect
0000026E	77D47DA3	SetRectEmpty
0000026F	77D4466C	SetScrollInfo
00000270	77D5D729	SetScrollPos
00000271	77D493E8	SetScrollRange
00000272	77D8E306	SetShellWindow
00000273	77D54C2E	SetShellWindowEx
00000274	77D95CFE	SetSysColors
00000275	77D9624E	SetSysColorsTemp
00000276	77D95DC8	SetSystemCursor
00000277	77D68AD1	SetSystemMenu
00000278	77D995F5	SetSystemTimer
00000279	77D54C88	SetTaskmanWindow
0000027A	77D52990	SetThreadDesktop
0000027B	77D444F0	SetTimer
0000027C	77D995B9	SetUserObjectInformationA
0000027D	77D995B9	SetUserObjectInformationW
0000027E	77D54EEC	SetUserObjectSecurity
0000027F	77D56A6E	SetWinEventHook
00000280	77D5E258	SetWindowContextHelpId
00000281	77D49951	SetWindowLongA
00000282	77D4993B	SetWindowLongW
00000283	77D4A742	SetWindowPlacement
00000284	77D49525	SetWindowPos
00000285	77D4B002	SetWindowRgn
00000286	77D55A11	SetWindowStationUser
00000287	77D5BB6C	SetWindowTextA
00000288	77D461C9	SetWindowTextW
00000289	77D5D50C	SetWindowWord
0000028A	77D6D0D5	SetWindowsHookA
0000028B	77D48F56	SetWindowsHookExA
0000028C	77D489C3	SetWindowsHookExW
0000028D	77D52AB6	SetWindowsHookW
0000028E	77D4818E	ShowCaret
0000028F	77D5BFB0	ShowCursor
00000290	77D6C6C8	ShowOwnedPopups
00000291	77D5BE13	ShowScrollBar
00000292	77D8D1DC	ShowStartGlass
00000293	77D47D27	ShowWindow
00000294	77D5231C	ShowWindowAsync
00000295	77D6A549	SoftModalMessageBox
00000296	77D512F4	SubtractRect
00000297	77D73649	SwapMouseButton
00000298	77D54AC4	SwitchDesktop
00000299	77D6ED14	SwitchToThisWindow
0000029A	77D4BBDB	SystemParametersInfoA
